,name,isMutiGoal,trainingEpisodes,fixAgentPostion,trajectory,lastPos,steps
0,fixReset0isMutiGoal1episodes16000step_agent,1,16000,0,"[[7, 7], [7, 6], [8, 6], [8, 5], [9, 5], [9, 4], [9, 3], [9, 2], [9, 1], [10, 1], [11, 1], [12, 1], [13, 1]]","[13, 1]",13
1,fixReset0isMutiGoal1episodes16000step_agent,1,16000,0,"[[7, 7], [6, 7], [6, 8], [6, 9], [6, 10], [6, 11], [5, 11], [5, 12], [4, 12], [3, 12], [3, 13], [2, 13], [1, 13]]","[1, 13]",13
2,fixReset0isMutiGoal1episodes16000step_agent,1,16000,0,"[[7, 7], [8, 7], [9, 7], [10, 7], [10, 8], [10, 9], [10, 10], [10, 11], [10, 12], [10, 13], [11, 13], [12, 13], [13, 13]]","[13, 13]",13
3,fixReset0isMutiGoal1episodes16000step_agent,1,16000,0,"[[7, 7], [7, 8], [6, 8], [6, 9], [6, 10], [6, 11], [5, 11], [5, 12], [4, 12], [3, 12], [3, 13], [2, 13], [1, 13]]","[1, 13]",13
4,fixReset0isMutiGoal1episodes16000step_agent,1,16000,0,"[[7, 7], [7, 8], [8, 8], [9, 8], [9, 9], [10, 9], [10, 10], [10, 11], [10, 12], [10, 13], [11, 13], [12, 13], [13, 13]]","[13, 13]",13
5,fixReset0isMutiGoal1episodes16000step_agent,1,16000,0,"[[7, 7], [7, 6], [8, 6], [8, 7], [7, 7], [8, 7], [7, 7], [7, 6], [7, 5], [6, 5], [5, 5], [4, 5], [4, 4], [3, 4], [2, 4], [1, 4], [1, 3], [1, 2], [1, 1]]","[1, 1]",19
6,fixReset0isMutiGoal1episodes16000step_agent,1,16000,0,"[[7, 7], [8, 7], [7, 7], [7, 6], [7, 7], [7, 6], [7, 7], [7, 6], [8, 6], [9, 6], [9, 5], [9, 4], [9, 3], [9, 2], [9, 1], [10, 1], [11, 1], [12, 1], [13, 1]]","[13, 1]",19
7,fixReset0isMutiGoal1episodes16000step_agent,1,16000,0,"[[7, 7], [6, 7], [7, 7], [6, 7], [6, 8], [6, 9], [6, 10], [6, 11], [5, 11], [5, 12], [4, 12], [3, 12], [3, 13], [2, 13], [2, 12], [2, 13], [1, 13]]","[1, 13]",17
8,fixReset0isMutiGoal1episodes16000step_agent,1,16000,0,"[[7, 7], [8, 7], [8, 8], [8, 7], [7, 7], [7, 6], [6, 6], [6, 5], [5, 5], [4, 5], [4, 4], [3, 4], [2, 4], [1, 4], [1, 3], [1, 2], [1, 1]]","[1, 1]",17
9,fixReset0isMutiGoal1episodes16000step_agent,1,16000,0,"[[7, 7], [6, 7], [7, 7], [8, 7], [9, 7], [9, 6], [9, 5], [9, 4], [9, 3], [9, 2], [9, 1], [10, 1], [11, 1], [12, 1], [13, 1]]","[13, 1]",15
10,fixReset0isMutiGoal1episodes16000step_agent,1,16000,0,"[[7, 7], [8, 7], [8, 8], [8, 9], [9, 9], [10, 9], [10, 10], [10, 11], [10, 12], [10, 13], [11, 13], [12, 13], [13, 13]]","[13, 13]",13
11,fixReset0isMutiGoal1episodes16000step_agent,1,16000,0,"[[7, 7], [7, 6], [8, 6], [8, 7], [8, 8], [8, 9], [9, 9], [10, 9], [10, 10], [10, 11], [10, 12], [10, 13], [11, 13], [12, 13], [13, 13]]","[13, 13]",15
12,fixReset0isMutiGoal1episodes16000step_agent,1,16000,0,"[[7, 7], [7, 8], [7, 7], [8, 7], [8, 8], [9, 8], [10, 8], [10, 9], [10, 10], [10, 11], [10, 12], [10, 13], [11, 13], [12, 13], [13, 13]]","[13, 13]",15
13,fixReset0isMutiGoal1episodes16000step_agent,1,16000,0,"[[7, 7], [6, 7], [5, 7], [6, 7], [7, 7], [7, 8], [6, 8], [5, 8], [5, 9], [5, 10], [5, 11], [5, 12], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]","[1, 13]",17
14,fixReset0isMutiGoal1episodes16000step_agent,1,16000,0,"[[7, 7], [7, 8], [6, 8], [6, 9], [6, 10], [6, 11], [5, 11], [5, 12], [4, 12], [3, 12], [3, 13], [2, 13], [1, 13]]","[1, 13]",13
15,fixReset0isMutiGoal1episodes16000step_agent,1,16000,0,"[[7, 7], [6, 7], [6, 8], [6, 9], [6, 10], [6, 11], [5, 11], [5, 12], [4, 12], [3, 12], [3, 13], [2, 13], [1, 13]]","[1, 13]",13
16,fixReset0isMutiGoal1episodes16000step_agent,1,16000,0,"[[7, 7], [8, 7], [8, 8], [7, 8], [8, 8], [8, 9], [9, 9], [10, 9], [10, 10], [10, 11], [10, 12], [10, 13], [11, 13], [12, 13], [13, 13]]","[13, 13]",15
17,fixReset0isMutiGoal1episodes16000step_agent,1,16000,0,"[[7, 7], [7, 8], [8, 8], [9, 8], [9, 9], [10, 9], [10, 10], [10, 11], [10, 12], [10, 13], [11, 13], [12, 13], [13, 13]]","[13, 13]",13
18,fixReset0isMutiGoal1episodes16000step_agent,1,16000,0,"[[7, 7], [8, 7], [7, 7], [7, 6], [7, 7], [6, 7], [6, 6], [7, 6], [7, 7], [6, 7], [6, 6], [6, 7], [6, 8], [6, 9], [6, 10], [6, 11], [5, 11], [5, 12], [4, 12], [3, 12], [3, 13], [2, 13], [1, 13]]","[1, 13]",23
19,fixReset0isMutiGoal1episodes16000step_agent,1,16000,0,"[[7, 7], [8, 7], [8, 8], [8, 7], [8, 6], [9, 6], [9, 5], [9, 4], [9, 3], [9, 2], [9, 1], [10, 1], [11, 1], [12, 1], [13, 1]]","[13, 1]",15
20,fixReset0isMutiGoal1episodes16000step_agent,1,16000,0,"[[7, 7], [8, 7], [9, 7], [10, 7], [11, 7], [12, 7], [12, 8], [13, 8], [13, 9], [13, 10], [13, 11], [13, 12], [13, 13]]","[13, 13]",13
21,fixReset0isMutiGoal1episodes16000step_agent,1,16000,0,"[[7, 7], [7, 6], [7, 7], [7, 6], [8, 6], [8, 7], [7, 7], [7, 8], [6, 8], [6, 9], [5, 9], [5, 10], [5, 11], [5, 12], [4, 12], [3, 12], [3, 13], [2, 13], [1, 13]]","[1, 13]",19
22,fixReset0isMutiGoal1episodes16000step_agent,1,16000,0,"[[7, 7], [8, 7], [8, 6], [8, 5], [9, 5], [9, 4], [9, 3], [9, 2], [9, 1], [10, 1], [11, 1], [12, 1], [13, 1]]","[13, 1]",13
23,fixReset0isMutiGoal1episodes16000step_agent,1,16000,0,"[[7, 7], [7, 8], [6, 8], [6, 9], [6, 10], [7, 10], [6, 10], [6, 11], [5, 11], [5, 12], [4, 12], [3, 12], [3, 13], [2, 13], [1, 13]]","[1, 13]",15
24,fixReset0isMutiGoal1episodes16000step_agent,1,16000,0,"[[7, 7], [7, 8], [6, 8], [6, 9], [6, 10], [6, 11], [5, 11], [5, 12], [4, 12], [3, 12], [3, 13], [2, 13], [1, 13]]","[1, 13]",13
25,fixReset0isMutiGoal1episodes16000step_agent,1,16000,0,"[[7, 7], [7, 8], [7, 7], [7, 6], [8, 6], [8, 7], [8, 8], [8, 9], [9, 9], [10, 9], [10, 10], [10, 11], [10, 12], [10, 13], [11, 13], [12, 13], [13, 13]]","[13, 13]",17
26,fixReset0isMutiGoal1episodes16000step_agent,1,16000,0,"[[7, 7], [6, 7], [6, 8], [6, 9], [6, 10], [6, 11], [5, 11], [5, 12], [4, 12], [3, 12], [3, 13], [2, 13], [1, 13]]","[1, 13]",13
27,fixReset0isMutiGoal1episodes16000step_agent,1,16000,0,"[[7, 7], [7, 8], [7, 7], [7, 6], [7, 5], [6, 5], [5, 5], [4, 5], [4, 4], [3, 4], [2, 4], [1, 4], [1, 3], [1, 2], [1, 1]]","[1, 1]",15
28,fixReset0isMutiGoal1episodes16000step_agent,1,16000,0,"[[7, 7], [6, 7], [7, 7], [8, 7], [8, 8], [7, 8], [8, 8], [8, 9], [9, 9], [10, 9], [10, 10], [10, 11], [10, 12], [10, 13], [11, 13], [12, 13], [13, 13]]","[13, 13]",17
29,fixReset0isMutiGoal1episodes16000step_agent,1,16000,0,"[[7, 7], [8, 7], [7, 7], [7, 6], [7, 5], [6, 5], [5, 5], [4, 5], [4, 4], [3, 4], [2, 4], [1, 4], [1, 3], [1, 2], [1, 1]]","[1, 1]",15
30,fixReset0isMutiGoal1episodes16000step_agent,1,16000,0,"[[7, 7], [7, 6], [8, 6], [8, 7], [8, 6], [8, 7], [7, 7], [6, 7], [6, 8], [6, 9], [6, 10], [6, 11], [5, 11], [5, 12], [4, 12], [3, 12], [3, 13], [2, 13], [1, 13]]","[1, 13]",19
31,fixReset0isMutiGoal1episodes16000step_agent,1,16000,0,"[[7, 7], [7, 6], [8, 6], [7, 6], [7, 7], [8, 7], [9, 7], [9, 6], [9, 5], [9, 4], [9, 3], [9, 2], [9, 1], [10, 1], [11, 1], [12, 1], [13, 1]]","[13, 1]",17
32,fixReset0isMutiGoal1episodes16000step_agent,1,16000,0,"[[7, 7], [6, 7], [6, 8], [6, 9], [6, 10], [6, 11], [5, 11], [5, 12], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]","[1, 13]",13
33,fixReset0isMutiGoal1episodes16000step_agent,1,16000,0,"[[7, 7], [7, 6], [6, 6], [7, 6], [6, 6], [7, 6], [6, 6], [5, 6], [5, 7], [4, 7], [4, 8], [4, 9], [4, 10], [4, 11], [4, 12], [3, 12], [3, 13], [2, 13], [1, 13]]","[1, 13]",19
