,name,trajectory,steps
0,isMutiGoal1episodes20000step_agent,"[[7, 7], [6, 7], [6, 8], [6, 9], [6, 10], [6, 11], [6, 12], [6, 13], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]",13
1,isMutiGoal1episodes20000step_agent,"[[7, 7], [7, 8], [7, 7], [6, 7], [6, 8], [6, 9], [6, 10], [6, 11], [6, 12], [6, 13], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]",15
2,isMutiGoal1episodes20000step_agent,"[[7, 7], [7, 8], [8, 8], [8, 7], [8, 8], [8, 7], [9, 7], [9, 6], [9, 5], [9, 4], [9, 3], [9, 2], [9, 1], [10, 1], [11, 1], [12, 1], [13, 1]]",17
3,isMutiGoal1episodes20000step_agent,"[[7, 7], [7, 6], [6, 6], [6, 5], [6, 4], [6, 3], [5, 3], [4, 3], [4, 2], [3, 2], [2, 2], [1, 2], [1, 1]]",13
4,isMutiGoal1episodes20000step_agent,"[[7, 7], [8, 7], [8, 8], [8, 9], [9, 9], [9, 10], [10, 10], [11, 10], [12, 10], [13, 10], [13, 11], [13, 12], [13, 13]]",13
5,isMutiGoal1episodes20000step_agent,"[[7, 7], [7, 6], [8, 6], [8, 5], [9, 5], [9, 4], [9, 3], [9, 2], [9, 1], [10, 1], [11, 1], [12, 1], [13, 1]]",13
6,isMutiGoal1episodes20000step_agent,"[[7, 7], [7, 8], [7, 7], [7, 6], [8, 6], [8, 5], [9, 5], [9, 4], [9, 3], [9, 2], [9, 1], [10, 1], [11, 1], [12, 1], [13, 1]]",15
7,isMutiGoal1episodes20000step_agent,"[[7, 7], [7, 8], [7, 9], [8, 9], [9, 9], [9, 10], [10, 10], [11, 10], [12, 10], [13, 10], [13, 11], [13, 12], [13, 13]]",13
8,isMutiGoal1episodes20000step_agent,"[[7, 7], [7, 8], [7, 7], [7, 6], [6, 6], [6, 5], [6, 6], [6, 7], [6, 8], [6, 9], [6, 10], [6, 11], [6, 12], [5, 12], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]",19
9,isMutiGoal1episodes20000step_agent,"[[7, 7], [7, 8], [8, 8], [8, 9], [8, 8], [9, 8], [9, 7], [9, 6], [9, 5], [9, 4], [9, 3], [9, 2], [9, 1], [10, 1], [11, 1], [12, 1], [13, 1]]",17
10,isMutiGoal1episodes20000step_agent,"[[7, 7], [7, 6], [7, 5], [8, 5], [9, 5], [9, 4], [9, 3], [9, 2], [9, 1], [10, 1], [11, 1], [12, 1], [13, 1]]",13
11,isMutiGoal1episodes20000step_agent,"[[7, 7], [7, 8], [6, 8], [6, 9], [6, 10], [6, 11], [6, 12], [6, 13], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]",13
12,isMutiGoal1episodes20000step_agent,"[[7, 7], [7, 6], [6, 6], [7, 6], [8, 6], [8, 5], [9, 5], [9, 4], [9, 3], [9, 2], [9, 1], [10, 1], [11, 1], [12, 1], [13, 1]]",15
