,name,trajectory,steps
0,_softmaxBeta-1_0,"[[7, 7], [7, 8], [6, 8], [6, 9], [7, 9], [7, 10], [8, 10], [7, 10], [6, 10], [5, 10], [5, 11], [4, 11], [4, 10], [3, 10], [3, 11], [3, 12], [3, 13], [2, 13], [1, 13]]",19
1,_softmaxBeta-1_0,"[[7, 7], [7, 6], [7, 7], [8, 7], [8, 8], [7, 8], [7, 7], [6, 7], [6, 8], [6, 7], [6, 8], [5, 8], [5, 9], [5, 8], [5, 9], [4, 9], [5, 9], [5, 10], [4, 10], [4, 11], [4, 12], [4, 11], [3, 11], [3, 12], [3, 11], [4, 11], [3, 11], [4, 11], [4, 12], [4, 13], [3, 13], [3, 14], [3, 13], [2, 13], [1, 13]]",35
2,_softmaxBeta-1_0,"[[7, 7], [7, 6], [7, 5], [7, 6], [7, 7], [7, 6], [6, 6], [6, 7], [5, 7], [5, 6], [4, 6], [4, 7], [4, 8], [3, 8], [2, 8], [1, 8], [2, 8], [2, 7], [2, 8], [1, 8], [2, 8], [3, 8], [4, 8], [4, 7], [4, 8], [4, 9], [3, 9], [3, 10], [3, 11], [2, 11], [1, 11], [1, 12], [1, 13]]",33
0,_softmaxBeta-1_0,"[[7, 7], [7, 8], [8, 8], [7, 8], [6, 8], [6, 9], [5, 9], [5, 10], [6, 10], [6, 11], [5, 11], [4, 11], [4, 12], [4, 11], [3, 11], [2, 11], [2, 12], [1, 12], [1, 13]]",19
0,_softmaxBeta-1_0,"[[7, 7], [8, 7], [9, 7], [9, 8], [9, 7], [9, 8], [10, 8], [10, 9], [9, 9], [9, 10], [8, 10], [8, 9], [7, 9], [7, 10], [7, 11], [7, 12], [6, 12], [6, 13], [5, 13], [5, 12], [4, 12], [5, 12], [6, 12], [6, 13], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]",29
1,_softmaxBeta-1_0,"[[7, 7], [8, 7], [8, 8], [9, 8], [9, 9], [9, 10], [9, 11], [9, 12], [9, 11], [8, 11], [7, 11], [6, 11], [6, 10], [5, 10], [4, 10], [4, 11], [4, 10], [3, 10], [2, 10], [1, 10], [2, 10], [3, 10], [2, 10], [1, 10], [1, 11], [1, 10], [1, 11], [1, 12], [1, 13]]",29
2,_softmaxBeta-1_0,"[[7, 7], [7, 8], [6, 8], [7, 8], [7, 9], [6, 9], [6, 10], [6, 11], [6, 12], [6, 13], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]",15
0,_softmaxBeta-1_0,"[[7, 7], [7, 8], [6, 8], [6, 7], [5, 7], [5, 8], [4, 8], [3, 8], [2, 8], [2, 9], [2, 10], [2, 11], [1, 11], [0, 11], [0, 12], [0, 12], [0, 13], [1, 13]]",18
1,_softmaxBeta-1_0,"[[7, 7], [8, 7], [8, 6], [9, 6], [8, 6], [9, 6], [9, 5], [8, 5], [9, 5], [8, 5], [8, 4], [9, 4], [8, 4], [8, 5], [8, 4], [7, 4], [8, 4], [8, 5], [9, 5], [10, 5], [9, 5], [8, 5], [8, 6], [7, 6], [7, 7], [7, 8], [6, 8], [5, 8], [4, 8], [4, 7], [4, 6], [4, 5], [3, 5], [2, 5], [1, 5], [0, 5], [1, 5], [1, 4], [1, 3], [0, 3], [0, 4], [1, 4], [2, 4], [1, 4], [1, 5], [1, 6], [1, 7], [2, 7], [2, 6], [2, 7], [2, 8], [1, 8], [1, 9], [1, 10], [1, 11], [2, 11], [2, 12], [2, 13], [1, 13]]",59
2,_softmaxBeta-1_0,"[[7, 7], [6, 7], [6, 8], [6, 9], [6, 10], [5, 10], [5, 11], [4, 11], [4, 12], [5, 12], [5, 13], [4, 13], [3, 13], [2, 13], [1, 13]]",15
0,_softmaxBeta-1_0,"[[7, 7], [7, 8], [6, 8], [6, 9], [6, 10], [6, 11], [6, 12], [6, 13], [5, 13], [4, 13], [4, 14], [4, 13], [3, 13], [2, 13], [1, 13]]",15
1,_softmaxBeta-1_0,"[[7, 7], [7, 8], [6, 8], [5, 8], [4, 8], [4, 9], [3, 9], [3, 10], [2, 10], [3, 10], [3, 9], [2, 9], [3, 9], [2, 9], [2, 10], [2, 11], [2, 12], [2, 13], [1, 13]]",19
2,_softmaxBeta-1_0,"[[7, 7], [6, 7], [6, 8], [5, 8], [5, 9], [5, 10], [4, 10], [4, 11], [4, 12], [4, 13], [4, 12], [4, 11], [3, 11], [3, 12], [2, 12], [2, 13], [1, 13]]",17
